,ts_code,trade_date,turnover_rate,volume_ratio,pe,pb
0,000156.SZ,20181130,1.3866,1.18,19.9376,1.2144
1,000156.SZ,20181129,2.6354,3.63,20.8764,1.2715
2,000156.SZ,20181128,1.2814,2.34,21.9269,1.3355
3,000156.SZ,20181127,0.5625,1.04,19.9376,1.2144
4,000156.SZ,20181126,0.7645,1.47,20.1388,1.2266
5,000156.SZ,20181123,0.613,1.03,19.2894,1.1749
6,000156.SZ,20181122,0.406,0.61,20.6082,1.2552
7,000156.SZ,20181121,0.3942,0.52,20.6082,1.2552
8,000156.SZ,20181120,0.5221,0.62,20.5858,1.2538
9,000156.SZ,20181119,0.6577,0.79,20.9881,1.2784
10,000156.SZ,20181116,1.0091,1.43,21.2563,1.2947
11,000156.SZ,20181115,0.7683,1.23,20.2282,1.2321
12,000156.SZ,20181114,0.8073,1.51,19.6023,1.1939
13,000156.SZ,20181113,0.9961,2.44,19.5576,1.1912
14,000156.SZ,20181112,0.5812,1.54,18.9988,1.1572
15,000156.SZ,20181109,0.3698,0.94,18.1048,1.1027
16,000156.SZ,20181108,0.3668,0.91,18.1271,1.1041
17,000156.SZ,20181107,0.3675,0.92,18.373,1.1191
18,000156.SZ,20181106,0.3555,0.92,18.4848,1.1259
19,000156.SZ,20181105,0.4323,1.26,18.6412,1.1354
20,000156.SZ,20181102,0.4439,1.55,18.5518,1.13
21,000156.SZ,20181101,0.4261,1.8,18.1942,1.1082
22,000156.SZ,20181031,0.3384,1.67,18.1718,1.1068
23,000156.SZ,20181030,0.287,1.58,18.0601,1.1169
24,000156.SZ,20181029,0.2153,1.02,18.0377,1.1155
25,000156.SZ,20181026,0.1691,0.81,18.373,1.1363
26,000156.SZ,20181025,0.177,0.78,18.1495,1.1224
27,000156.SZ,20181024,0.1636,0.7,18.2612,1.1294
28,000156.SZ,20181023,0.1836,0.76,18.2165,1.1266
29,000156.SZ,20181022,0.3646,1.77,18.4624,1.1418
30,000156.SZ,20181019,0.1583,0.7,17.7695,1.0989
31,000156.SZ,20181018,0.2636,0.95,17.4342,1.0782
32,000156.SZ,20181017,0.2024,0.67,17.5236,1.0837
33,000156.SZ,20181016,0.221,0.74,17.5236,1.0837
34,000156.SZ,20181015,0.1866,0.55,18.0154,1.1142
35,000156.SZ,20181012,0.2578,0.76,18.4401,1.1404
36,000156.SZ,20181011,0.5175,1.69,18.4624,1.1418
37,000156.SZ,20181010,0.3189,0.98,19.647,1.2151
38,000156.SZ,20181009,0.2209,0.66,19.6247,1.2137
39,000156.SZ,20181008,0.3751,1.16,19.8706,1.2289
40,000156.SZ,20180928,0.2646,0.82,19.9153,1.2317
41,000156.SZ,20180927,0.3508,1.09,19.7364,1.2206
42,000156.SZ,20180926,0.4106,1.47,19.8035,1.2247
43,000156.SZ,20180925,0.2822,0.97,19.58,1.2109
44,000156.SZ,20180921,0.3153,1.08,19.8035,1.2247
45,000156.SZ,20180920,0.2559,0.83,19.4906,1.2054
46,000156.SZ,20180919,0.3511,1.22,19.4235,1.2012
47,000156.SZ,20180918,0.1918,0.62,19.2447,1.1902
48,000156.SZ,20180917,0.3452,1.18,18.9988,1.175
49,000156.SZ,20180914,0.3157,1.09,19.1553,1.1847
50,000156.SZ,20180913,0.332,1.14,19.1777,1.186
51,000156.SZ,20180912,0.2533,0.83,18.9765,1.1736
52,000156.SZ,20180911,0.3103,0.88,18.8424,1.1653
53,000156.SZ,20180910,0.247,0.7,18.3506,1.1349
54,000156.SZ,20180907,0.2996,0.88,18.7977,1.1625
55,000156.SZ,20180906,0.3489,1.09,18.9318,1.1708
56,000156.SZ,20180905,0.3189,1.08,18.7977,1.1625
57,000156.SZ,20180904,0.543,2.41,19.0659,1.1791
58,000156.SZ,20180903,0.2434,0.93,18.3506,1.1349
59,000156.SZ,20180831,0.2518,0.94,18.3953,1.1377
60,000156.SZ,20180830,0.2448,0.91,18.5965,1.1657
61,000156.SZ,20180829,0.1963,0.73,18.7977,1.1783
62,000156.SZ,20180828,0.1897,0.64,18.6859,1.1713
63,000156.SZ,20180827,0.4281,1.59,18.7306,1.1741
64,000156.SZ,20180824,0.2863,1.11,18.3283,1.1489
65,000156.SZ,20180823,0.2376,0.92,18.5071,1.1601
66,000156.SZ,20180822,0.1954,0.71,18.2836,1.1461
67,000156.SZ,20180821,0.3299,1.16,18.373,1.1517
68,000156.SZ,20180820,0.2993,1.0,18.6859,1.1394
69,000156.SZ,20180817,0.2321,0.69,18.3953,1.1216
70,000156.SZ,20180816,0.2386,0.59,18.5742,1.1325
71,000156.SZ,20180815,0.2828,0.67,18.8424,1.1489
72,000156.SZ,20180814,0.3722,0.82,19.2224,1.1721
73,000156.SZ,20180813,0.3753,0.83,19.0659,1.1625
74,000156.SZ,20180810,0.4156,1.0,19.1777,1.1693
75,000156.SZ,20180809,0.5757,1.37,19.1553,1.168
76,000156.SZ,20180808,0.3728,0.83,18.8647,1.1503
77,000156.SZ,20180807,0.5375,1.3,19.1553,1.168
78,000156.SZ,20180806,0.3497,0.86,18.8424,1.1489
79,000156.SZ,20180803,0.2481,0.59,19.1106,1.1652
80,000156.SZ,20180802,0.5979,1.31,19.1777,1.1693
81,000156.SZ,20180801,0.5205,1.15,20.027,1.2211
82,000156.SZ,20180731,0.3563,0.74,20.5411,1.2525
83,000156.SZ,20180730,0.3033,0.6,20.6305,1.2579
84,000156.SZ,20180727,0.333,0.58,20.9881,1.2797
85,000156.SZ,20180726,0.765,1.47,21.234,1.2947
86,000156.SZ,20180725,0.5104,0.96,21.0105,1.2811
87,000156.SZ,20180724,0.4946,0.92,20.9658,1.2784
88,000156.SZ,20180723,0.4308,0.77,20.5635,1.2538
89,000156.SZ,20180720,0.6589,1.34,20.3623,1.2416
90,000156.SZ,20180719,0.5001,0.96,20.5411,1.2525
91,000156.SZ,20180718,0.5841,1.2,20.474,1.2484
92,000156.SZ,20180717,0.5168,1.13,20.6976,1.262
93,000156.SZ,20180716,0.5394,1.24,20.8987,1.2743
94,000156.SZ,20180713,0.322,0.67,21.3458,1.3015
95,000156.SZ,20180712,0.6517,1.47,21.2787,1.2974
96,000156.SZ,20180711,0.4063,0.79,20.7423,1.2647
97,000156.SZ,20180710,0.3695,0.7,21.4352,1.307
98,000156.SZ,20180709,0.4307,0.84,21.4352,1.307
99,000156.SZ,20180706,0.5283,1.08,21.0999,1.2865
100,000156.SZ,20180705,0.4816,0.94,21.3234,1.3002
101,000156.SZ,20180704,0.7734,1.21,22.3292,1.3615
102,000156.SZ,20180703,0.4226,0.73,21.7481,1.3261
103,000156.SZ,20180702,0.3462,0.57,21.681,1.322
104,000156.SZ,20180629,0.4314,0.77,21.5469,1.3138
105,000156.SZ,20180628,0.6017,1.16,20.8987,1.2743
106,000156.SZ,20180627,1.4028,4.46,21.681,1.322
107,000156.SZ,20180626,0.1212,0.29,22.9327,1.3983
