,ts_code,name,market,publisher,category,base_date,base_point,list_date
0,801001.SI,申万50,SW,申万研究,其他,19991230,1000.0,
1,801002.SI,申万中小板,SW,申万研究,其他,20040705,1000.0,
2,801003.SI,申万A股,SW,申万研究,其他,19991230,1000.0,
3,801004.SI,申万股改指数,SW,申万研究,其他,20050815,1000.0,
4,801005.SI,申万创业板,SW,申万研究,其他,20091105,1000.0,20091106
5,801010.SI,农林牧渔(申万),SW,申万研究,一级行业指数,19991230,1000.0,20031015
6,801011.SI,林业Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
7,801012.SI,农产品加工(申万),SW,申万研究,二级行业指数,19991230,1000.0,
8,801013.SI,农业综合Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
9,801014.SI,饲料Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
10,801015.SI,渔业(申万),SW,申万研究,二级行业指数,19991230,1000.0,
11,801016.SI,种植业(申万),SW,申万研究,二级行业指数,19991230,1000.0,
12,801017.SI,畜禽养殖Ⅱ(申万),SW,申万研究,二级行业指数,20111010,1000.0,
13,801018.SI,动物保健Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
14,801020.SI,采掘(申万),SW,申万研究,一级行业指数,19991230,1000.0,20031015
15,801021.SI,煤炭开采Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
16,801022.SI,其他采掘Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
17,801023.SI,石油开采Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
18,801024.SI,采掘服务Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
19,801030.SI,化工(申万),SW,申万研究,一级行业指数,19991230,1000.0,20031015
20,801031.SI,化工新材料Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
21,801032.SI,化学纤维(申万),SW,申万研究,二级行业指数,19991230,1000.0,
22,801033.SI,化学原料(申万),SW,申万研究,二级行业指数,19991230,1000.0,
23,801034.SI,化学制品(申万),SW,申万研究,二级行业指数,19991230,1000.0,
24,801035.SI,石油化工(申万),SW,申万研究,二级行业指数,19991230,1000.0,
25,801036.SI,塑料Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
26,801037.SI,橡胶(申万),SW,申万研究,二级行业指数,19991230,1000.0,
27,801040.SI,钢铁(申万),SW,申万研究,一级行业指数,19991230,1000.0,20031015
28,801041.SI,钢铁Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
29,801042.SI,金属制品Ⅱ(申万),SW,申万研究,其他,19991230,1000.0,
30,801050.SI,有色金属(申万),SW,申万研究,一级行业指数,19991230,1000.0,20031015
31,801051.SI,金属非金属新材料(申万),SW,申万研究,二级行业指数,19991230,1000.0,
32,801052.SI,有色金属冶炼与加工(申万),SW,申万研究,二级行业指数,19991230,1000.0,
33,801053.SI,黄金Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
34,801054.SI,稀有金属(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
35,801055.SI,工业金属(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
36,801060.SI,建筑建材(申万),SW,申万研究,一级行业指数,19991230,1000.0,
37,801061.SI,建筑材料(申万),SW,申万研究,二级行业指数,19991230,1000.0,
38,801062.SI,建筑装饰(申万),SW,申万研究,二级行业指数,19991230,1000.0,
39,801070.SI,机械设备(申万),SW,申万研究,一级行业指数,19991230,1000.0,
40,801071.SI,电气设备(申万),SW,申万研究,二级行业指数,19991230,1000.0,
41,801072.SI,通用机械(申万),SW,申万研究,二级行业指数,19991230,1000.0,
42,801073.SI,仪器仪表Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
43,801074.SI,专用设备(申万),SW,申万研究,二级行业指数,19991230,1000.0,
44,801075.SI,金属制品Ⅱ(申万),SW,申万研究,二级行业指数,19991231,1000.0,
45,801076.SI,运输设备Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
46,801080.SI,电子(申万),SW,申万研究,一级行业指数,19991230,1000.0,20031015
47,801081.SI,半导体(申万),SW,申万研究,二级行业指数,19991230,1000.0,
48,801082.SI,其他电子Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
49,801083.SI,元件Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
50,801084.SI,光学光电子(申万),SW,申万研究,二级行业指数,19991230,1000.0,
51,801085.SI,电子制造Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
52,801090.SI,交运设备(申万),SW,申万研究,一级行业指数,19991230,1000.0,
53,801091.SI,非汽车交运设备(申万),SW,申万研究,二级行业指数,19991230,1000.0,
54,801092.SI,汽车服务Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
55,801093.SI,汽车零部件Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
56,801094.SI,汽车整车(申万),SW,申万研究,二级行业指数,19991230,1000.0,
57,801100.SI,信息设备(申万),SW,申万研究,一级行业指数,19991230,1000.0,
58,801101.SI,计算机设备Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
59,801102.SI,通信设备(申万),SW,申万研究,二级行业指数,19991230,1000.0,
60,801110.SI,家用电器(申万),SW,申万研究,一级行业指数,19991230,1000.0,20031015
61,801111.SI,白色家电(申万),SW,申万研究,二级行业指数,19991230,1000.0,
62,801112.SI,视听器材(申万),SW,申万研究,二级行业指数,19991230,1000.0,
63,801120.SI,食品饮料(申万),SW,申万研究,一级行业指数,19991230,1000.0,20031015
64,801121.SI,食品加工(申万),SW,申万研究,其他,19991230,1000.0,
65,801122.SI,食品制造(申万),SW,申万研究,其他,19991230,1000.0,
66,801123.SI,饮料制造(申万),SW,申万研究,二级行业指数,19991230,1000.0,
67,801124.SI,食品加工(申万),SW,申万研究,二级行业指数,19991230,1000.0,
68,801130.SI,纺织服装(申万),SW,申万研究,一级行业指数,19991230,1000.0,20031015
69,801131.SI,纺织制造(申万),SW,申万研究,二级行业指数,19991230,1000.0,
70,801132.SI,服装家纺(申万),SW,申万研究,二级行业指数,19991230,1000.0,
71,801140.SI,轻工制造(申万),SW,申万研究,一级行业指数,19991230,1000.0,20031015
72,801141.SI,包装印刷Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
73,801142.SI,家用轻工(申万),SW,申万研究,二级行业指数,19991230,1000.0,
74,801143.SI,造纸Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
75,801150.SI,医药生物(申万),SW,申万研究,一级行业指数,19991230,1000.0,20031015
76,801151.SI,化学制药(申万),SW,申万研究,二级行业指数,19991230,1000.0,
77,801152.SI,生物制品Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
78,801153.SI,医疗器械Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
79,801154.SI,医药商业Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
80,801155.SI,中药Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
81,801156.SI,医疗服务Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
82,801160.SI,公用事业(申万),SW,申万研究,一级行业指数,19991230,1000.0,20031015
83,801161.SI,电力(申万),SW,申万研究,二级行业指数,19991230,1000.0,
84,801162.SI,环保工程及服务Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
85,801163.SI,燃气Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
86,801164.SI,水务Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
87,801170.SI,交通运输(申万),SW,申万研究,一级行业指数,19991230,1000.0,20031015
88,801171.SI,港口Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
89,801172.SI,公交Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
90,801173.SI,航空运输Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
91,801174.SI,机场Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
92,801175.SI,高速公路Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
93,801176.SI,航运Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
94,801177.SI,铁路运输Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
95,801178.SI,物流Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
96,801180.SI,房地产(申万),SW,申万研究,一级行业指数,19991230,1000.0,20031015
97,801181.SI,房地产开发Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
98,801182.SI,园区开发Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
99,801190.SI,金融服务(申万),SW,申万研究,一级行业指数,19991230,1000.0,
100,801191.SI,多元金融Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
101,801192.SI,银行Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
102,801193.SI,券商Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
103,801194.SI,保险Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
104,801200.SI,商业贸易(申万),SW,申万研究,一级行业指数,19991230,1000.0,20031015
105,801201.SI,零售(申万),SW,申万研究,二级行业指数,19991230,1000.0,
106,801202.SI,贸易Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
107,801203.SI,一般零售(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
108,801204.SI,专业零售(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
109,801205.SI,商业物业经营(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
110,801210.SI,休闲服务(申万),SW,申万研究,一级行业指数,19991230,1000.0,20031015
111,801211.SI,餐饮Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
112,801212.SI,景点(申万),SW,申万研究,二级行业指数,19991230,1000.0,
113,801213.SI,酒店Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
114,801214.SI,旅游综合Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
115,801215.SI,其他休闲服务Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
116,801220.SI,信息服务(申万),SW,申万研究,一级行业指数,19991230,1000.0,
117,801221.SI,传媒(申万),SW,申万研究,二级行业指数,19991230,1000.0,
118,801222.SI,计算机应用(申万),SW,申万研究,二级行业指数,19991230,1000.0,
119,801223.SI,通信运营Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
120,801224.SI,网络服务(申万),SW,申万研究,二级行业指数,19991230,1000.0,
121,801230.SI,综合(申万),SW,申万研究,一级行业指数,19991230,1000.0,20031015
122,801231.SI,综合Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,
123,801250.SI,申万制造,SW,申万研究,其他,19991230,1000.0,20110822
124,801260.SI,申万消费,SW,申万研究,其他,19991230,1000.0,20110822
125,801270.SI,申万投资,SW,申万研究,其他,19991230,1000.0,20110822
126,801280.SI,申万服务,SW,申万研究,其他,19991230,1000.0,20110822
127,801300.SI,申万300,SW,申万研究,其他,19991230,1000.0,
128,801311.SI,300农林牧渔(申万),SW,申万研究,其他,19991230,1000.0,
129,801321.SI,300采掘(申万),SW,申万研究,其他,19991230,1000.0,
130,801322.SI,300化工(申万),SW,申万研究,其他,19991230,1000.0,
131,801323.SI,300黑色金属(申万),SW,申万研究,其他,19991230,1000.0,
132,801324.SI,300有色金属(申万),SW,申万研究,其他,19991230,1000.0,
133,801325.SI,300建筑建材(申万),SW,申万研究,其他,19991230,1000.0,
134,801326.SI,300机械设备(申万),SW,申万研究,其他,19991230,1000.0,
135,801327.SI,300电子(申万),SW,申万研究,其他,19991230,1000.0,
136,801331.SI,300交运设备(申万),SW,申万研究,其他,19991230,1000.0,
137,801332.SI,300信息设备(申万),SW,申万研究,其他,19991230,1000.0,
138,801333.SI,300家用电器(申万),SW,申万研究,其他,19991230,1000.0,
139,801334.SI,300食品饮料(申万),SW,申万研究,其他,19991230,1000.0,
140,801335.SI,300纺织服装(申万),SW,申万研究,其他,19991230,1000.0,
141,801336.SI,300轻工制造(申万),SW,申万研究,其他,19991230,1000.0,
142,801337.SI,300医药生物(申万),SW,申万研究,其他,19991230,1000.0,
143,801341.SI,300公用事业(申万),SW,申万研究,其他,19991230,1000.0,
144,801342.SI,300交通运输(申万),SW,申万研究,其他,19991230,1000.0,
145,801343.SI,300房地产(申万),SW,申万研究,其他,19991230,1000.0,
146,801344.SI,300金融服务(申万),SW,申万研究,其他,19991230,1000.0,
147,801345.SI,300商业贸易(申万),SW,申万研究,其他,19991230,1000.0,
148,801346.SI,300餐饮旅游(申万),SW,申万研究,其他,19991230,1000.0,
149,801347.SI,300信息服务(申万),SW,申万研究,其他,19991230,1000.0,
150,801351.SI,300综合(申万),SW,申万研究,其他,19991230,1000.0,
151,801710.SI,建筑材料(申万),SW,申万研究,一级行业指数,19991230,1000.0,20140221
152,801711.SI,水泥制造Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
153,801712.SI,玻璃制造Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
154,801713.SI,其他建材Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
155,801720.SI,建筑装饰(申万),SW,申万研究,一级行业指数,19991230,1000.0,20140221
156,801721.SI,房屋建设Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
157,801722.SI,装修装饰Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
158,801723.SI,基础建设(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
159,801724.SI,专业工程(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
160,801725.SI,园林工程Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
161,801730.SI,电气设备(申万),SW,申万研究,一级行业指数,19991230,1000.0,20140221
162,801731.SI,电机Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
163,801732.SI,电气自动化设备(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
164,801733.SI,电源设备(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
165,801734.SI,高低压设备(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
166,801740.SI,国防军工(申万),SW,申万研究,一级行业指数,19991230,1000.0,20140221
167,801741.SI,航天装备Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
168,801742.SI,航空装备Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
169,801743.SI,地面兵装Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
170,801744.SI,船舶制造Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
171,801750.SI,计算机(申万),SW,申万研究,一级行业指数,19991230,1000.0,20140221
172,801751.SI,营销传播(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
173,801752.SI,互联网传媒(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
174,801760.SI,传媒(申万),SW,申万研究,一级行业指数,19991230,1000.0,20140221
175,801761.SI,文化传媒(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
176,801770.SI,通信(申万),SW,申万研究,一级行业指数,19991230,1000.0,20140221
177,801780.SI,银行(申万),SW,申万研究,一级行业指数,19991230,1000.0,20140221
178,801790.SI,非银金融(申万),SW,申万研究,一级行业指数,19991230,1000.0,20140221
179,801811.SI,大盘指数(申万),SW,申万研究,其他,19991230,1000.0,
180,801812.SI,中盘指数(申万),SW,申万研究,其他,19991230,1000.0,
181,801813.SI,小盘指数(申万),SW,申万研究,其他,19991230,1000.0,
182,801821.SI,高市盈率指数(申万),SW,申万研究,其他,19991230,1000.0,
183,801822.SI,中市盈率指数(申万),SW,申万研究,其他,19991230,1000.0,
184,801823.SI,低市盈率指数(申万),SW,申万研究,其他,19991230,1000.0,
185,801831.SI,高市净率指数(申万),SW,申万研究,其他,19991230,1000.0,
186,801832.SI,中市净率指数(申万),SW,申万研究,其他,19991230,1000.0,
187,801833.SI,低市净率指数(申万),SW,申万研究,其他,19991230,1000.0,
188,801841.SI,高价股指数(申万),SW,申万研究,其他,19991230,1000.0,
189,801842.SI,中价股指数(申万),SW,申万研究,其他,19991230,1000.0,
190,801843.SI,低价股指数(申万),SW,申万研究,其他,19991230,1000.0,
191,801851.SI,亏损股指数(申万),SW,申万研究,其他,19991230,1000.0,
192,801852.SI,微利股指数(申万),SW,申万研究,其他,19991230,1000.0,
193,801853.SI,绩优股指数(申万),SW,申万研究,其他,19991230,1000.0,
194,801861.SI,配股指数(申万),SW,申万研究,其他,19991230,1000.0,
195,801862.SI,活跃指数(申万),SW,申万研究,其他,19991230,1000.0,
196,801863.SI,新股指数(申万),SW,申万研究,其他,19991230,1000.0,
197,801880.SI,汽车(申万),SW,申万研究,一级行业指数,19991230,1000.0,20140221
198,801881.SI,其他交运设备Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221
199,801890.SI,机械设备(申万),SW,申万研究,一级行业指数,19991230,1000.0,20140221
200,801901.SI,申万基金重仓,SW,申万研究,其他,20021231,1000.0,
201,801903.SI,申万基金核心,SW,申万研究,其他,20021231,1000.0,
202,801905.SI,申万重点,SW,申万研究,其他,20020430,1000.0,
203,802600.SI,装备制造,SW,申万研究,其他,20041231,1000.0,
204,802613.SI,平安银行养老新兴投资指数,SW,申万研究,价值指数,20161230,1000.0,20170103
205,803611.SI,价值优势(申万),SW,申万研究,其他,20041231,1000.0,20100331
206,803612.SI,价值发现(申万),SW,申万研究,其他,20041231,1000.0,20100816
207,803613.SI,价值稳健(申万),SW,申万研究,其他,20041231,1000.0,20100816
208,805001.SI,SWS商品,SW,申万研究,其他,20041231,1000.0,20120702
209,805002.SI,SWS商品S,SW,申万研究,其他,20041231,1000.0,20120702
210,805003.SI,SWS农业,SW,申万研究,其他,20041231,1000.0,20121126
211,805004.SI,SWS农业S,SW,申万研究,其他,20041231,1000.0,20121126
212,805005.SI,SWS工业,SW,申万研究,其他,20041231,1000.0,20121126
213,805006.SI,SWS工业S,SW,申万研究,其他,20041231,1000.0,20121126
214,805007.SI,SWS贵金,SW,申万研究,其他,20081231,1000.0,20121126
215,805008.SI,SWS贵金S,SW,申万研究,其他,20081231,1000.0,20121126
216,806001.SI,申万三板做市,SW,申万研究,其他,20140829,1000.0,20150331
217,806010.SI,申万新三板计算机,SW,申万研究,其他,20141231,1000.0,20151224
218,806020.SI,申万新三板机械,SW,申万研究,其他,20141231,1000.0,20151224
219,806030.SI,申万新三板化工,SW,申万研究,其他,20141231,1000.0,20151224
220,806040.SI,申万新三板传媒,SW,申万研究,其他,20141231,1000.0,20141231
221,806050.SI,申万新三板电气设备,SW,申万研究,其他,20141231,1000.0,20141231
222,806060.SI,申万新三板电子,SW,申万研究,其他,20141231,1000.0,20141231
223,806070.SI,申万新三板建筑装饰,SW,申万研究,其他,20141231,1000.0,20141231
224,806080.SI,申万新三板医药生物,SW,申万研究,其他,20141231,1000.0,20141231
225,806090.SI,申万新三板通信,SW,申万研究,其他,20150630,1000.0,20161027
226,806100.SI,申万新三板农林牧渔,SW,申万研究,其他,20150630,1000.0,20161027
227,806110.SI,申万新三板公用事业,SW,申万研究,其他,20150630,1000.0,20161027
228,806120.SI,申万新三板休闲服务,SW,申万研究,其他,20150630,1000.0,20161027
229,806130.SI,申万新三板有色金属,SW,申万研究,其他,20150630,1000.0,20161027
230,806140.SI,申万新三板汽车,SW,申万研究,其他,20150630,1000.0,20161027
231,806150.SI,申万新三板轻工制造,SW,申万研究,其他,20150630,1000.0,20161027
232,806160.SI,申万新三板建筑材料,SW,申万研究,其他,20150630,1000.0,20161027
233,806170.SI,申万新三板非银金融,SW,申万研究,其他,20150630,1000.0,20161027
234,806180.SI,申万新三板食品饮料,SW,申万研究,其他,20150630,1000.0,20161027
235,806190.SI,申万新三板商业贸易,SW,申万研究,其他,20150630,1000.0,20161027
236,806200.SI,申万新三板交通运输,SW,申万研究,其他,20150630,1000.0,20161027
237,850111.SI,种子生产(申万),SW,申万研究,三级行业指数,19991230,1000.0,
238,850112.SI,粮食种植(申万),SW,申万研究,三级行业指数,19991230,1000.0,
239,850113.SI,其他种植业(申万),SW,申万研究,三级行业指数,19991230,1000.0,
240,850121.SI,海洋捕捞(申万),SW,申万研究,三级行业指数,19991230,1000.0,
241,850122.SI,水产养殖(申万),SW,申万研究,三级行业指数,19991230,1000.0,
242,850131.SI,林业Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
243,850141.SI,饲料Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
244,850151.SI,果蔬加工(申万),SW,申万研究,三级行业指数,19991230,1000.0,
245,850152.SI,粮油加工(申万),SW,申万研究,三级行业指数,19991230,1000.0,
246,850153.SI,畜禽加工(申万),SW,申万研究,其他,19991230,1000.0,
247,850154.SI,其他农产品加工(申万),SW,申万研究,三级行业指数,19991230,1000.0,
248,850161.SI,农业综合Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
249,850171.SI,畜禽养殖Ⅲ(申万),SW,申万研究,三级行业指数,20111010,1000.0,
250,850181.SI,动物保健Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
251,850211.SI,石油开采Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
